step,bending_energy
0,6.3194576e-29
1,1.7872173e-07
2,2.838522e-06
3,1.4264993e-05
4,4.4756863e-05
5,0.00010848037
6,0.00022332915
7,0.00041078931
8,0.00069580925
9,0.001106674
10,0.0016748837
11,0.0024350358
12,0.0034247106
13,0.0046843606
14,0.0062572017
15,0.0081891075
16,0.010528506
17,0.013326279
18,0.016635659
19,0.020512135
20,0.025013352
21,0.030199017
22,0.0361308
23,0.042872242
24,0.050488659
25,0.059047044
26,0.068615974
27,0.079265514
28,0.091067119
29,0.10409354
30,0.11841871
31,0.13411767
32,0.15126646
33,0.16994198
34,0.19022193
35,0.21218471
36,0.23590927
37,0.261475
38,0.28896168
39,0.31844928
40,0.35001792
41,0.38374769
42,0.41971856
43,0.45801026
44,0.49870214
45,0.54187304
46,0.58760115
47,0.63596392
48,0.68703788
49,0.74089852
50,0.79762014
51,0.85727574
52,0.91993684
53,0.98567337
54,1.0545535
55,1.1266435
56,1.2020076
57,1.2807079
58,1.3628041
59,1.4483534
60,1.5374104
61,1.6300271
62,1.7262523
63,1.8261321
64,1.9297091
65,2.0370227
66,2.148109
67,2.2630003
68,2.3817254
69,2.5043091
70,2.6307725
71,2.7611325
72,2.8954019
73,3.0335893
74,3.175699
75,3.3217309
76,3.4716804
77,3.6255384
78,3.7832912
79,3.9449206
80,4.1104034
81,4.279712
82,4.452814
83,4.6296723
84,4.810245
85,4.9944855
86,5.1823425
87,5.37376
88,5.5686775
89,5.7670298
90,5.9687472
91,6.1737555
92,6.3819761
93,6.5933263
94,6.8077188
95,7.0250627
96,7.2452627
97,7.4682198
98,7.6938311
99,7.9219903
100,8.1525874
101,8.3855091
102,8.6206389
103,8.8578574
104,9.0970419
105,9.3380674
106,9.5808059
107,9.8251273
108,10.070899
109,10.317986
110,10.566253
111,10.81556
112,11.065768
113,11.316734
114,11.568318
115,11.820374
116,12.072757
117,12.325322
118,12.577922
119,12.830411
120,13.08264
121,13.334461
122,13.585728
123,13.836292
124,14.086005
125,14.334719
126,14.582287
127,14.828562
128,15.073398
129,15.316648
130,15.558168
131,15.797813
132,16.03544
133,16.270905
134,16.504069
135,16.734789
136,16.962926
137,17.188342
138,17.410901
139,17.630465
140,17.846901
141,18.060076
142,18.269856
143,18.476112
144,18.678714
145,18.877535
146,19.072447
147,19.263327
148,19.450049
149,19.632493
150,19.810536
151,19.98406
152,20.152946
153,20.317077
154,20.476339
155,20.630616
156,20.779797
157,20.923771
158,21.062426
159,21.195654
160,21.323348
161,21.445401
162,21.561709
163,21.672167
164,21.776674
165,21.875126
166,21.967426
167,22.053472
168,22.133168
169,22.206416
170,22.273121
171,22.333189
172,22.386526
173,22.43304
174,22.472639
175,22.505234
176,22.530737
177,22.549059
178,22.560115
179,23.115633
