step,rms_distance_to_target_mm,max_node_error_mm,tip_error_mm,normalized_error_percent
0,14.6,25.397936,16.644,100
1,14.740618,26.021119,16.780967,101.15074
2,14.70805,26.313626,16.674557,100.88422
3,14.636261,26.495825,16.479914,100.29674
4,14.531296,26.567918,16.207883,99.437769
5,14.399597,26.533486,15.870962,98.360025
6,14.246792,26.397372,15.481606,97.109553
7,14.0769,26.164142,15.051091,95.719257
8,13.892155,25.837579,14.589145,94.207413
9,13.693437,25.421325,14.104285,92.581225
10,13.481145,24.920339,13.604584,90.843953
11,13.256188,24.34253,13.098473,89.003043
12,13.020738,23.699801,12.595189,87.076255
13,12.778417,23.007932,12.104637,85.093248
14,12.533785,22.285059,11.636603,83.091321
15,12.291166,21.549049,11.199525,81.105872
16,12.053134,20.814466,10.799123,79.157963
17,11.819105,20.090038,10.437306,77.242809
18,11.584547,19.377479,10.111687,75.323324
19,11.341203,18.672115,9.8159004,73.33194
20,11.07847,17.965295,9.5407527,71.181886
21,10.78578,17.248062,9.2760617,68.786687
22,10.455594,16.515338,9.0129534,66.08464
23,10.086439,15.769843,8.7463354,63.063697
24,9.685228,15.024831,8.4770838,59.780425
25,9.2676489,14.304186,8.213004,56.363205
26,8.85505,13.637799,7.9670455,52.986741
27,8.4669991,13.050998,7.7515561,49.811163
28,8.1116294,12.550785,7.5697545,46.903028
29,7.7796819,12.11711,7.4094025,44.186567
30,7.4484725,11.708426,7.245035,41.476146
31,7.0957364,11.282314,7.0502396,38.589563
32,6.7144017,10.818785,6.8126602,35.468947
33,6.3170763,10.32912,6.5403775,32.217472
34,5.9272472,9.8440648,6.2548114,29.027341
35,5.5651556,9.3920483,5.9765848,26.064199
36,5.2391278,8.9842967,5.7154836,23.396181
37,4.9464347,8.6147624,5.4700616,21.000955
38,4.6797593,8.2699444,5.2338517,18.818642
39,4.4331644,7.9388891,5.0017901,16.800655
40,4.2044921,7.6176747,4.7730639,14.929337
41,3.994727,7.3086087,4.5505306,13.212744
42,3.8062232,7.0171183,4.3386836,11.670141
43,3.6412142,6.7488801,4.1418293,10.319805
44,3.48,6.4690245,3.9392549,9.000524
45,3.35,6.2302288,3.7636211,7.9366812
46,3.26,6.0505896,3.6256922,7.2001747
47,3.19,5.8942956,3.5037203,6.6273362
48,3.15,5.7808994,3.4092133,6.3
