step,adaptive_three_force_mm,fixed_position_three_force_mm,linear_reference_mm
0,9.8238198,12.43506,9.8238198
1,9.818745,12.506879,9.7376115
2,9.8036918,12.565793,9.6514032
3,9.7789145,12.611395,9.5651948
4,9.744665,12.643301,9.4789865
5,9.7011934,12.661155,9.3927782
6,9.6487482,12.664637,9.3065699
7,9.5875781,12.653472,9.2203616
8,9.517932,12.627434,9.1341533
9,9.4400604,12.586355,9.047945
10,9.354216,12.53013,8.9617366
11,9.2606553,12.45872,8.8755283
12,9.1596389,12.37216,8.78932
13,9.0514328,12.270557,8.7031117
14,8.936309,12.154097,8.6169034
15,8.8145464,12.023044,8.5306951
16,8.6864316,11.87774,8.4444867
17,8.5522587,11.718607,8.3582784
18,8.4123303,11.546141,8.2720701
19,8.2669568,11.360913,8.1858618
20,8.1164568,11.163563,8.0996535
21,7.9611561,10.954795,8.0134452
22,7.8013871,10.735373,7.9272369
23,7.6374879,10.506111,7.8410285
24,7.4698008,10.267868,7.7548202
25,7.298671,10.021538,7.6686119
26,7.1244454,9.7680444,7.5824036
27,6.9474703,9.5083267,7.4961953
28,6.7680904,9.2433356,7.409987
29,6.586647,8.9740224,7.3237786
30,6.4034764,8.7013314,7.2375703
31,6.2189091,8.4261912,7.151362
32,6.0332677,8.149508,7.0651537
33,5.8468667,7.8721583,6.9789454
34,5.6600115,7.5949829,6.8927371
35,5.4729971,7.3187814,6.8065288
36,5.2861079,7.0443075,6.7203204
37,5.0996174,6.7722646,6.6341121
38,4.913787,6.5033032,6.5479038
39,4.7288664,6.2380173,6.4616955
40,4.5450928,5.9769435,6.3754872
41,4.362691,5.720559,6.2892789
42,4.1818734,5.4692821,6.2030705
43,4.0028403,5.223472,6.1168622
44,3.8257801,4.9834304,6.0306539
45,3.6508699,4.7494035,5.9444456
46,3.4782771,4.5215845,5.8582373
47,3.3081597,4.3001175,5.772029
48,3.1406685,4.0851014,5.6858207
49,2.9759482,3.8765943,5.5996123
50,2.8141397,3.674619,5.513404
51,2.6553817,3.4791682,5.4271957
52,2.4998128,3.29021,5.3409874
53,2.3475736,3.1076939,5.2547791
54,2.198808,2.9315563,5.1685708
55,2.0536658,2.7617267,5.0823624
56,1.9123035,2.5981329,4.9961541
57,1.774886,2.4407067,4.9099458
58,1.6415879,2.289389,4.8237375
59,1.5125942,2.1441354,4.7375292
60,1.3881018,2.0049209,4.6513209
61,1.26832,1.8717449,4.5651126
62,1.1534721,1.7446368,4.4789042
63,1.043797,1.6236608,4.3926959
64,0.93955069,1.5089222,4.3064876
65,0.84100956,1.400573,4.2202793
66,0.74847359,1.2988198,4.134071
67,0.66227076,1.2039309,4.0478627
68,0.58276138,1.1162441,3.9616543
69,0.51034094,1.0361724,3.875446
70,0.44543698,0.96420239,3.7892377
71,0.38849149,0.90087541,3.7030294
72,0.33991412,0.8467335,3.6168211
73,0.29998791,0.80220689,3.5306128
74,0.26872147,0.76743339,3.4444045
75,0.24568602,0.74205197,3.3581961
76,0.22994098,0.72509347,3.2719878
77,0.22016157,0.7151098,3.1857795
78,0.21497371,0.71055996,3.0995712
79,0.21336288,0.71030271,3.0133629
