step,length_error_mm
0,6.9388939e-15
1,-1.3877788e-14
2,-6.9388939e-15
3,0
4,0
5,0
6,0
7,-6.9388939e-15
8,1.3877788e-14
9,-1.3877788e-14
10,-6.9388939e-15
11,-6.9388939e-15
12,-1.3877788e-14
13,1.3877788e-14
14,0
15,-6.9388939e-15
16,6.9388939e-15
17,1.3877788e-14
18,0
19,-1.3877788e-14
20,-1.3877788e-14
21,6.9388939e-15
22,0
23,6.9388939e-15
24,0
25,0
26,-6.9388939e-15
27,0
28,-6.9388939e-15
29,0
30,0
31,6.9388939e-15
32,-6.9388939e-15
33,0
34,0
35,0
36,-6.9388939e-15
37,0
38,6.9388939e-15
39,6.9388939e-15
40,-6.9388939e-15
41,0
42,6.9388939e-15
43,1.3877788e-14
44,-6.9388939e-15
45,-6.9388939e-15
46,6.9388939e-15
47,1.3877788e-14
48,-6.9388939e-15
49,1.3877788e-14
50,0
51,6.9388939e-15
52,6.9388939e-15
53,1.3877788e-14
54,-1.3877788e-14
55,6.9388939e-15
56,6.9388939e-15
57,6.9388939e-15
58,0
59,-6.9388939e-15
60,6.9388939e-15
61,0
62,0
63,0
64,0
65,6.9388939e-15
66,0
67,6.9388939e-15
68,0
69,-1.3877788e-14
70,-6.9388939e-15
71,-1.3877788e-14
72,-1.3877788e-14
73,1.3877788e-14
74,6.9388939e-15
75,0
76,6.9388939e-15
77,1.3877788e-14
78,0
79,0
