step,normalized_curvature_index,max_curvature
0,0,0
1,0.0046700524,0.28608362
2,0.024541145,1.5033707
3,0.048711284,2.9840138
4,0.079951959,4.8977921
5,0.11741168,7.192544
6,0.17541046,10.745503
7,0.22361454,13.698445
8,0.27462129,16.823078
9,0.34499616,21.134185
10,0.39806627,24.385217
11,0.45018121,27.577736
12,0.51653534,31.642536
13,0.56756101,34.768327
14,0.62357123,38.199468
15,0.67812045,41.541109
16,0.74744658,45.787972
17,0.79603984,48.764755
18,0.84099483,51.518661
19,0.8941554,54.775235
20,0.92810387,56.854891
21,0.95626002,58.579713
22,0.97797948,59.91023
23,0.99581106,61.002578
24,1,61.259189
